X,Y,Z,
0.127134,0.0755266,1.51294,
0.134814,0.0744312,1.51362,
0.142505,0.073316,1.5142,
0.150123,0.0721649,1.51473,
0.157832,0.0709561,1.51524,
0.166242,0.0695891,1.51576,
0.173918,0.0683049,1.51619,
0.18157,0.0670077,1.51654,
0.188563,0.0658356,1.51679,
0.195554,0.0646951,1.51698,
0.201604,0.0637367,1.51709,
0.207684,0.0628027,1.51715,
0.214652,0.0617402,1.51721,
0.220645,0.0608158,1.51729,
0.226577,0.0598948,1.5174,
0.231626,0.0591095,1.5175,
0.236718,0.0583314,1.51758,
0.243707,0.0573123,1.51755,
0.250777,0.0563538,1.51742,
0.264272,0.0546556,1.51711,
0.278698,0.0529313,1.51663,
0.289772,0.0516442,1.51618,
0.300801,0.050375,1.51568,
0.311403,0.0491624,1.51514,
0.321948,0.0480035,1.51454,
0.331152,0.0470561,1.51396,
0.34038,0.0461644,1.51335,
0.349688,0.0453184,1.51267,
0.360195,0.044423,1.51184,
0.366742,0.0438883,1.51134,
0.373336,0.0433611,1.51086,
0.384595,0.0424778,1.51014,
0.395893,0.0416307,1.50941,
0.406679,0.0408851,1.50862,
0.416129,0.0403001,1.50781,
0.425577,0.039779,1.5069,
0.434356,0.0393503,1.50601,
0.44317,0.0389604,1.5051,
0.452832,0.038564,1.50412,
0.465609,0.0380932,1.50283,
0.480132,0.0376252,1.5013,
0.494651,0.03722,1.49971,
0.509161,0.0368951,1.49813,
0.521778,0.0366822,1.49682,
0.534442,0.0365141,1.49552,
0.550643,0.0363396,1.49381,
0.566865,0.0362099,1.49208,
0.576764,0.0361554,1.49101,
0.586296,0.0361116,1.49002,
0.596377,0.0360621,1.48905,
0.616034,0.0359667,1.48731,
0.63572,0.0359181,1.48564,
0.655413,0.0359173,1.48407,
0.675112,0.0359625,1.48259,
0.69339,0.0360337,1.48126,
0.707773,0.0361011,1.48024,
0.721372,0.0361743,1.47927,
0.734937,0.0362609,1.47832,
0.748502,0.0363625,1.47738,
0.762071,0.0364795,1.47644,
0.777143,0.0366283,1.47543,
0.792257,0.036798,1.47445,
0.810437,0.0370257,1.47332,
0.828814,0.0372647,1.47228,
0.846039,0.0374733,1.47141,
0.870226,0.0377394,1.4703,
0.901673,0.0380895,1.46889,
0.93312,0.0384737,1.46748,
0.963912,0.0388738,1.46611,
0.994702,0.039287,1.46476,
1.01364,0.0395383,1.46398,
1.02764,0.0397139,1.46346,
1.0483,0.0399743,1.46271,
1.08164,0.0404048,1.46154,
1.11498,0.0408485,1.46038,
1.14849,0.0412995,1.45926,
1.1745,0.0416337,1.45845,
1.20063,0.0419418,1.4577,
1.22626,0.0422238,1.45701,
1.25197,0.0425073,1.45636,
1.27777,0.0427874,1.45573,
1.31669,0.0431885,1.45486,
1.35578,0.0435873,1.45403,
1.40059,0.0440592,1.45314,
1.44284,0.0445314,1.45234,
1.4806,0.0449701,1.45166,
1.51833,0.0454136,1.45099,
1.55316,0.0458254,1.45037,
1.58633,0.0462252,1.44978,
1.61953,0.0466301,1.44921,
1.65261,0.047036,1.44866,
1.68571,0.0474506,1.44816,
1.719,0.0478563,1.44769,
1.75791,0.0483105,1.44715,
1.79301,0.0487158,1.44667,
1.8281,0.0491115,1.44619,
1.86319,0.0494915,1.4457,
