X,Y,Z,ppm
-0.23041,0.0417472,1.48518,2.09E+04
-0.230265,0.0420435,1.48512,2.08E+04
-0.230096,0.0423829,1.48506,2.09E+04
-0.229925,0.0427209,1.485,2.12E+04
-0.229753,0.0430576,1.48494,2.14E+04
-0.229579,0.0433931,1.48487,2.16E+04
-0.22949,0.0435619,1.48483,2.18E+04
-0.229462,0.0436161,1.48482,2.18E+04
-0.229447,0.0436432,1.48482,2.18E+04
-0.229422,0.0436907,1.48481,2.18E+04
-0.229391,0.0437503,1.4848,2.18E+04
-0.229343,0.0438397,1.48478,2.17E+04
-0.229272,0.0439735,1.48475,2.17E+04
-0.229164,0.0441739,1.48471,2.16E+04
-0.229,0.0444736,1.48465,2.14E+04
-0.228751,0.0449209,1.48456,2.12E+04
-0.228393,0.0455452,1.48444,2.08E+04
-0.228026,0.0461657,1.48433,2.05E+04
-0.227766,0.0465959,1.48425,2.05E+04
-0.227501,0.0470261,1.48417,2.02E+04
-0.226975,0.0478614,1.48403,2.04E+04
-0.226434,0.0486909,1.48387,1.99E+04
-0.226046,0.0492636,1.48377,1.97E+04
-0.225691,0.0497711,1.48367,1.92E+04
-0.225282,0.0503298,1.48356,1.86E+04
-0.224852,0.050894,1.48344,1.82E+04
-0.224492,0.0513537,1.48333,1.81E+04
-0.224051,0.0519093,1.48321,1.80E+04
-0.223604,0.0524657,1.48309,1.78E+04
-0.223101,0.0530826,1.48297,1.75E+04
-0.222699,0.0535703,1.48287,1.76E+04
-0.222401,0.0539279,1.4828,1.76E+04
-0.222097,0.0542835,1.48272,1.73E+04
-0.221678,0.0547624,1.48262,1.78E+04
-0.221275,0.0552171,1.48252,1.81E+04
-0.220867,0.0556689,1.48241,1.79E+04
-0.22048,0.0560902,1.48231,1.76E+04
-0.220088,0.0565081,1.48222,1.75E+04
-0.219489,0.057137,1.48207,1.71E+04
-0.218883,0.0577595,1.48193,1.69E+04
-0.21827,0.0583761,1.48179,1.67E+04
-0.21765,0.0589867,1.48165,1.64E+04
-0.217355,0.0592726,1.48158,1.61E+04
-0.217058,0.0595562,1.48152,1.60E+04
-0.21676,0.0598383,1.48145,1.60E+04
-0.216459,0.0601177,1.48139,1.58E+04
-0.216156,0.0603938,1.48132,1.56E+04
-0.215849,0.0606664,1.48126,1.53E+04
-0.215539,0.0609356,1.48119,1.51E+04
-0.215226,0.0612016,1.48113,1.49E+04
-0.214759,0.0615894,1.48103,1.45E+04
-0.214287,0.0619717,1.48094,1.42E+04
-0.213591,0.062522,1.4808,1.38E+04
-0.21289,0.0630645,1.48067,1.35E+04
-0.21226,0.0635411,1.48056,1.33E+04
-0.211627,0.0640095,1.48045,1.30E+04
-0.210783,0.0646165,1.48031,1.26E+04
-0.209978,0.0651807,1.48018,1.25E+04
-0.20917,0.0657371,1.48006,1.24E+04
-0.208359,0.0662883,1.47993,1.23E+04
-0.207544,0.0668312,1.47982,1.23E+04
-0.20663,0.0674239,1.47969,1.21E+04
-0.205707,0.0680037,1.47956,1.20E+04
-0.204436,0.0687794,1.47939,1.20E+04
-0.203183,0.0695152,1.47922,1.15E+04
-0.202452,0.069923,1.47912,1.11E+04
-0.201711,0.0703165,1.47903,1.04E+04
-0.20093,0.0707141,1.47893,1.02E+04
-0.200153,0.0711037,1.47883,1.01E+04
-0.199375,0.0714898,1.47873,1.01E+04
-0.198482,0.0719293,1.47863,1.01E+04
-0.197558,0.0723791,1.47853,1.00E+04
